user_id,first_name,last_name,password,position,salary,role
98082ed5-54f4-468b-adac-b089fe3438b6,Ezra,Ghirardi,o2oQNhL4Ii,at,45333,admin
82e5d5f3-6d37-400c-8f92-534e3fb4d09a,Gaynor,Catherick,wUQzIQdp0Z,nulla suscipit,61553,dealer
c8121027-0835-4e2c-9355-142d33cbd9c9,Constancy,Hans,fr6YSKFLd,consequat in,8892,car owner
8e680a19-7e05-4424-b0be-459af7fe10e1,Anett,Kordas,ecOsblWQ,consequat,49326,car owner
2531f745-a420-4db1-8b2f-841007d1be97,Bebe,Clampe,gU1F1KqG,interdum in,43966,car owner
924932c1-8d57-418d-86ed-a79010655604,Ganny,Crathern,M5ccdvIdu,sapien,4137,employee
9f079d7f-7a80-4e17-a3a8-0cf139e626fd,Melinde,Ritzman,XmPYPbJOD53,turpis sed,54679,employee
8ccfd062-a0c4-4570-a38d-1199c838248f,Jessie,Robiou,31Xqs4COB,sapien a,28356,admin
af364e96-3d68-4609-9cfd-641b4e2062f0,Elmo,Hasnney,ddUnSvC6,mattis nibh,69388,dealer
a5c6b343-e72a-45f2-9ae5-512136fcfd42,Star,Beyne,8qZ2O2fH,turpis eget,78219,admin
e3e138bd-50c7-440c-96a3-3b544bfccd5b,Paxon,Capnerhurst,1tiaEg,vel est,40022,dealer
c330db04-37fe-4e1a-919e-5e14f848f228,Rhianna,Laker,Lbk5LdacJEPG,lacinia,41308,employee
96b3922d-31de-4d64-b94d-fa7cdab9d87c,Virginia,Kaaskooper,R6cewgj,rutrum at,38416,investor
6ae844dc-2283-4ef9-9f1a-fe8a31318d15,Fernandina,Gellan,3srsET,mauris laoreet,54845,partner
7026a980-dc99-4ddb-aca8-82ab2f13c22d,Tracy,Maltby,CDwLfv,venenatis turpis,35779,admin
05ddeab1-760c-4f56-8def-7e8f82cb1ed8,Reid,Cubberley,OvU51XU,nullam,5996,employee
944767c2-1b11-4dec-b87e-3666958a39f1,Cesaro,Heffy,YMN8BVf,libero rutrum,42722,admin
3151cad5-5454-4761-80f2-b8ad49bf610d,Daria,Perot,zekSElnU00C,at,61638,employee
82e5acf2-2cb4-4739-9bef-a7436d2f6a62,Burr,Stamps,jJDOAD,in,16768,employee
61ab7a45-b13d-4fb0-b68e-8fe9c004ed11,Noak,Statter,pw1QNNuxGTav,id ligula,35543,car owner
490feb05-efbf-48a2-90db-4fba6b8ea11b,Cissy,Nottingam,DAD4N3uUDiMB,vulputate vitae,63920,car owner
5a33034e-0e52-459d-b840-109c3af6d7f1,Duff,Aleksandrov,vATgZA,nascetur,33298,car owner
c98f424d-8705-4bd8-a593-1c8f45aa0ddd,Bette,Sword,2U9HxtDQyDb,quisque,32991,car owner
319c0cd4-668e-43c4-a065-ffd42e2d8ac1,Denice,Tows,hWUy2D6S5c,posuere,17196,partner
9a3fb8fc-d57a-40ae-9583-4a40d9bdc61b,Reiko,Laite,K3pZ95q1IU,volutpat quam,31503,car owner
1b0056f8-d6f2-42e5-9673-307138638d0f,Vilma,MacShane,KgrJiJ0PiG5S,curae,8224,dealer
6831998a-1bb8-45cc-bb75-797e1fab9bec,Roddie,Strettell,tJXYZahR,feugiat non,15997,employee
3e22e78a-9c92-40ca-96a2-71ad20772bda,Sibella,Stallard,jxITWhdp4,felis fusce,74901,car owner
119e7ec5-cfd3-4550-bde8-d2d853eae132,Warner,Pickton,NGXhIsKzFpO,in,68201,car owner
